name,display_name,aliases,category,display_class,tags,default_route,all_routes,routes_with_dose,has_dose_data,has_duration_data,half_life_minutes,mechanism_summary,effects,references,data_gaps
1Cp-LSD,,1-(cyclopropanoyl)-LSD | 1-CPA-LSD | 1-cyclopropanecarbonyl-LSD | 1-cyclopropionyl-LSD | 1-环丙酰基-D-麦角酸二乙酰胺 | 1cP | 1cplsd | Curie,Psychedelic,recreational,class:Lysergamide | class:lysergamides | prodrug-of-LSD | research-chemical | tentative,insufflation,insufflation | oral | sublingual,insufflation | oral | sublingual,yes,yes,,"更多信息请见：迷幻剂

基于其与 LSD 的结构相似性，1cP-LSD 可能作为 5-HT 受体的受体激动剂（部分激动剂）发挥作用喵。 迷幻剂效应被认为主要源于它在分布于整个大脑的 5-HT 受体上的效力。1cP-LSD 可能还对广泛的单胺受体显示出结合活性，例如多巴胺和去甲肾上腺素受体。不过，目前还没有数据支持这些说法呢。

由于其与 LSD 的结构相似性，可以提出以下假设：大多数血清素类迷幻剂没有显著的多巴胺活性，因此 1cP-LSD 在这方面被认为是异类喵。在 D 受体上的任何激动活性都可能对其在人类身上的精神活性产生贡献。此外，1cP-LSD 可能会结合除 5-HT 和 5-HT 受体之外的大多数血清素受体亚型。然而，大多数这些受体的亲和力太低，不足以被大约 10–20 nM 的大脑浓度充分激活。娱乐剂量可能会影响 5-HT、5-HT、5-HT、5-HT、5-HT [在克隆的大鼠组织中] 和 5-HT 受体哦。

1cP-LSD 可能是偏向激动剂，它会诱导血清素受体产生一种构象，从而优先招募 β-arrestin 而不是激活 G 蛋白。5-HT 与 1cP-LSD 结合的晶体结构显示，一个胞外环在结合腔的二乙酰胺端形成了一个“盖子”，这解释了它从血清素受体上解离速度缓慢的原因喵。",,,"half_life_minutes, references"
1cP-MiPLA,,1-cP-MiPLA | 1-cyclopropionyl-MiPLA | 1-环丙酰基甲基异丙基麦角酰胺 | LAMIDE 1-cP,Psychedelic,recreational,class:Lysergamides | class:lysergamides,oral,oral | sublingual,oral | sublingual,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
1D-LSD,,Valerie | syn-L-229,Psychedelic,recreational,anecdotal-dose-only | lsd-prodrug | psychedelic | research-chemical,oral,oral | sublingual,oral | sublingual,yes,yes,216.0,LSD prodrug — strained cyclobutane ring hydrolyzes to release LSD → 5-HT2A partial agonist.,cognitive amplification | emotional amplification | synesthesia | ego dissolution,https://en.wikipedia.org/wiki/1D-LSD | https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9191647/,
1P-ETH-LAD,,1pethlad,Psychedelic,recreational,class:lysergamides | research-chemical | tentative,oral,oral,oral,yes,yes,,"更多信息请参阅：血清素能致幻剂

这种化合物可能作为 5-HT 受体激动剂起作用喵。人们认为致幻剂效应源于 1P-ETH-LAD 对 5-HT 受体的效能。然而，这些相互作用的作用以及它们如何导致幻觉体验目前仍然不明确呢。

1P-ETH-LAD 与其母体化合物 LSD 有许多共同特征；它的效力似乎大致相等，机制也相似，尽管由于代谢方式的疑似差异，其效果的进展和持续时间会被压缩（同时在性质上不那么强烈且更易于管理）哦。研究表明，在人血清中孵育的 1P-ETH-LAD 会形成 ETH-LAD，这表明它起到前药的作用呢。",,,"half_life_minutes, references"
1P-LSD,,1-propionyl-LSD | 1-propionyl-lysergic acid diethylamide | 1P | 1P-LSD hemitartrate | 1plsd,Psychedelic,recreational,CES1-substrate | class:Lysergamide | class:lysergamides | prodrug-of-LSD | research-chemical,oral,oral | sublingual,oral | sublingual,yes,yes,240.0,"另见：血清素能迷幻剂

基于它和LSD的结构相似性，1P-LSD很可能作为5-HT2A受体的部分激动剂起作用。它的迷幻效果被认为主要来自于它对分布在大脑各处的5-HT2A受体的作用呢。

1P-LSD也很可能对各种单胺受体显示出结合活性，比如多巴胺和去甲肾上腺素受体。不过，目前还没有实验数据支持这些说法哦。

理论上，1P-LSD可能是LSD的前药。虽然1P-LSD在小鼠体内的效力只有LSD的38%，但当1P-LSD在人血清中孵育时，通过LC-MS可以检测到LSD。目前正在进行后续研究，比较LSD和1P-LSD在5-HT受体上的亲和力和选择性，并确定1P-LSD是否在体内水解为LSD。除此之外，1P-LSD也有可能本身就具有活性呢。

在上述研究发表之前，药物化学家和迷幻剂研究员David E. Nichols据报道在私人通信中评论了1P-LSD潜在的血清素受体结合动力学：

“我确信1-丙酰基也会从吲哚上水解下来，但我不知道体内条件是否允许。在化学实验室里，你可以去掉N-苯甲酰基，所以N-丙酰基可能也会掉下来。但在体内呢？我不知道答案。不过，作为N-丙酰基化合物，它本身是没有活性的。LSD停靠在5-HT2A受体的方式是吲哚NH与丝氨酸5.46形成氢键。有了丙酰基，它就塞不进受体了。”","Acuity enhancement | Analysis enhancement | Auditory distortion | Auditory enhancement | Auditory hallucinations | Autonomous entities | Bodily control enhancement | Colour enhancement | Colour shifting | Conceptual thinking | Creativity enhancement | Delusions | Depth perception distortions | Drifting | Emotion enhancement | External hallucinations | Feelings of interdependent opposites | Feelings of self-design | Geometry | Immersion enhancement | Increased heart rate | Internal hallucinations | Memory suppression | Mindfulness | Muscle spasms | Nausea | Novelty enhancement | Pattern recognition enhancement | Personal bias suppression | Perspective alterations | Perspective distortions | Pupil dilation | Scenarios and plots | Settings, sceneries, and landscapes | Spirituality enhancement | Spontaneous tactile sensations | Stimulation | Symmetrical texture repetition | Tactile enhancement | Thought acceleration | Thought disorganization | Thought loops | Time distortion | Tracers | Transformations | Unity and interconnectedness | Wakefulness",Pharmacokinetics and subjective effects of 1P‐LSD in humans after oral and intravenous administration,
1S-LSD,,N1-TMS-propionyl lysergamide,Psychedelic,recreational,class:Lysergamide,oral,oral | sublingual,oral | sublingual,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
1V-LSD,,1-戊酰基-D-麦角酸二乙酰胺,Psychedelic,recreational,class:lysergamides,oral,oral,oral,yes,yes,,"更多信息请见：血清素能致幻剂

基于其与 LSD 的结构相似性，1V-LSD 可能作为 5-HT 受体的部分激动剂起作用喵。致幻剂效应被认为主要源于其对分布在整个大脑中的 5-HT 受体的效力呢。

1V-LSD 可能还对广泛的单胺受体表现出结合活性，例如多巴胺和去甲肾上腺素受体哦。然而，目前还没有数据支持这些说法喵。

理论上认为，1V-LSD（以及酰基同系物 1P-LSD 或 ALD-52）在体内通过消除戊酸脱酰基化为 LSD，这已通过人血清研究得到证实呢。",,,"half_life_minutes, references"
"2,4-DMA",,"2,4-dimethoxyamphetamine",Psychedelic,recreational,PIHKAL | no-human-data | phenethylamine,,,,no,no,,,,https://erowid.org/library/books_online/pihkal/pihkal053.shtml,"dose_ranges_by_route, duration_by_route, half_life_minutes, mechanism_of_action"
"2,5-Dimethoxy-4-ethoxyamphetamine",MEM,MEM,,recreational,,oral,oral,oral,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
"2,5-DMA",,"2,5-dimethoxyamphetamine | 5-二甲氧基苯丙胺 | DOH",Psychedelic,recreational,PIHKAL | class:amphetamine | no-human-data | phenethylamine,oral,oral,oral,yes,yes,,"目前没有 2,5-DMA 在人体中的试验记录，关于其药理特性、代谢和毒性的数据也非常有限呢。",,https://erowid.org/library/books_online/pihkal/pihkal054.shtml,half_life_minutes
"2,a-DMT",,,Psychedelic,recreational,5-HT2A-agonist | TIHKAL | tryptamine,oral,oral,oral,yes,yes,,,,https://erowid.org/library/books_online/tihkal/tihkal07.shtml,"half_life_minutes, mechanism_of_action"
2-AI,,2-aminoindan | 2ai,Stimulant,recreational,habit-forming | research-chemical | tentative,oral,oral,oral,yes,yes,90.0,,Acuity enhancement | Analysis enhancement | Anxiety | Appetite suppression | Cognitive euphoria | Cognitive fatigue | Compulsive redosing | Dehydration | Depression | Focus enhancement | Increased heart rate | Increased perspiration | Irritability | Memory enhancement | Motivation enhancement | Nausea | Pain relief | Stimulation | Teeth grinding | Temporary erectile dysfunction | Thought acceleration | Thought deceleration | Wakefulness,,"mechanism_of_action, references"
2-Aminoindane,,2-AI | 2-aminoindan | 2-indanamine,Stimulant,recreational,class:aminoindane,insufflation,insufflation | oral | rectal,insufflation | oral | rectal,yes,yes,,由于缺乏关于该物质的研究，所有关于其药理学的讨论都纯粹基于其结构以及与其他兴奋剂（如苯丙胺、甲基苯丙胺和2-FMA）的主观效应相似性推测的呢。2-AI最可能是一种多巴胺和去甲肾上腺素神经递质释放剂。这意味着它通过结合并部分阻断通常从突触间隙移除这些单胺的转运蛋白，从而有效地提高大脑中去甲肾上腺素和多巴胺神经递质的水平。这使得多巴胺和去甲肾上腺素在大脑中积累，从而产生兴奋和欣快的效应哦。,,,"half_life_minutes, references"
"2-BR-4,5-MDA",,6-BR-MDA,Psychedelic,recreational,PIHKAL | SNDRI | no-human-data | phenethylamine | psychedelic-leaning,oral,oral,oral,yes,no,,,,https://erowid.org/library/books_online/pihkal/pihkal019.shtml,"duration_by_route, half_life_minutes, mechanism_of_action"
"2-Bromo-4,5-MDMA",,"2-BR-4,5-MDMA | 6-BR-MDMA",Psychedelic,recreational,psychedelic-leaning,insufflation,insufflation | oral,insufflation | oral,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
2-Chloro-Ephenidine,,2-CL-ephenidine | 2-chloroephenidine | 2chloroephenidine | 2clephenidine,Dissociative,recreational,NMDA-antagonist | diarylethylamine | research-chemical | tentative,oral,oral,oral,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
2-CMC,,2-Chloromethcathinone,Stimulant,recreational,cathinone | less-toxic-than-4CMC | neurotoxic-evidence-preliminary | no-human-data | research-chemical | weak-substrate-releaser,,,,no,no,,,,,"dose_ranges_by_route, duration_by_route, half_life_minutes, mechanism_of_action, references"
2-DPMP,,2-desoxypiperadol | 2-diphenylmethylpiperidine | 2-二苯甲基哌啶 | 2dpmp | Desoxypipradol | Desoxypipradrol | Ivory Wave,Stimulant,recreational,class:substituted piperidines | habit-forming | research-chemical | tentative,insufflation,insufflation | oral,insufflation | oral,yes,yes,1080.0,2-DPMP主要作为一种去甲肾上腺素-多巴胺再摄取抑制剂 (NDRI) 发挥作用，但作为一种兴奋剂，它的效力异常高，持续时间极长，剂量反应也不可预测。这些风险可能归因于它异常高的亲脂性和长消除半衰期，这也增加了滥用时引发兴奋剂精神病状态的相对风险，而且在人类中已经证实它的阈值低得惊人。,,,references
2-FEA,,2-Fluoroethamphetamine | 2-fluoroethylamphetamine,Stimulant,recreational,class:substituted amphetamines | research-chemical | tentative,insufflation,insufflation,insufflation,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
2-Fluoroamphetamine,2-FA,2-F-amphetamine | 2-FA | 2-FMP | 2-氟苯丙胺 | 2fa | o-FA | ortho-fluoroamphetamine,Stimulant,recreational,DA-selective-releaser | class:substituted amphetamines | habit-forming | research-chemical,insufflation,insufflation | oral,insufflation | oral,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
2-Fluorodeschloroketamine,2-FDCK,2-F-DCK | 2-FDCK | 2-FL-2'-oxo-PCM | 2-FL-2'-氧代-PCM | 2f-DCK | 2f-KET | 2f-ketamine | 2fdck | 2fket | Fluoroketamine,Dissociative,recreational,NMDA-antagonist | arylcyclohexylamine | class:arylcyclohexylamines | designer-dissociative | fatalities-reported | habit-forming | research-chemical | tentative,insufflation,insufflation | oral,insufflation | oral,yes,yes,,"更多信息：NMDA受体拮抗剂类药物

由于缺乏关于该物质的研究，所有关于其药理学的讨论都纯粹基于它的结构，以及它与其他芳基环己胺类物质解离剂，例如DCK和氯胺酮之间的主观效应相似性。考虑到这一点，2-氟去氯氯胺酮被认为可作为NMDA受体拮抗剂类药物发挥作用。

NMDA受体允许电信号在脑和脊髓中的神经元之间传递；要让信号通过，受体必须处于开放状态。解离剂会通过阻断NMDA受体来关闭它们。神经元之间的这种断连会导致感觉丧失、运动困难，并最终导致这种物质相当于“K洞”的状态。",,,"half_life_minutes, references"
2-Fluoroethamphetamine,2-FEA,2-F-ethylamphetamine | 2-FEA | 2-氟乙基苯丙胺,Empathogen,recreational,,insufflation,insufflation | oral | rectal | sublingual,insufflation | oral | rectal | sublingual,yes,yes,,目前还没有像对传统苯丙胺类药物那样对 2-FEA 进行正式的研究喵。目前假设它主要作为一种三重神经递质再摄取抑制剂起作用，并会释放以下神经递质：血清素、多巴胺和去甲肾上腺素。2-FEA 可能是通过作为这些神经递质的释放剂，或者通过结合并部分阻断那些在完成神经冲动传导后通常会将物质从突触间隙清除的转运蛋白来产生效果的呢。,,,"half_life_minutes, references"
2-FMA,,2-fluoromethamphetamine | 2-氟甲基苯丙胺 | 2fma,Stimulant,recreational,class:amphetamine | class:substituted amphetamines | habit-forming | research-chemical,insufflation,insufflation | oral,insufflation | oral,yes,yes,,虽然 2-FMA 还没有像传统 苯丙胺 那样被正式研究过，但人们认为它既是 多巴胺 也是 去甲肾上腺素 的 释放剂。这意味着它通过结合并部分阻断通常从 突触间隙 移除它们的转运蛋白，从而有效地增加大脑中去甲肾上腺素和多巴胺的水平。这使得多巴胺和去甲肾上腺素在大脑中积累，从而产生兴奋和欣快的效果。,Analysis enhancement | Anxiety | Anxiety suppression | Appetite suppression | Cognitive fatigue | Compulsive redosing | Dehydration | Depression | Focus enhancement | Increased heart rate | Increased perspiration | Irritability | Motivation enhancement | Physical euphoria | Stimulation | Tactile enhancement | Teeth grinding | Thought acceleration | Thought deceleration | Wakefulness,,"half_life_minutes, references"
2-FMC,,2-Fluoromethcathinone,Stimulant,recreational,cathinone | no-human-data | research-chemical | weak-releaser-predicted,,,,no,no,,,,https://en.wikipedia.org/wiki/2-Fluoromethcathinone,"dose_ranges_by_route, duration_by_route, half_life_minutes, mechanism_of_action"
2-FXiPr,,2-F-2-oxo-PCiPr | FXiPr,Dissociative,recreational,dissociative | no-human-data | oxo-arylcyclohexylamine | research-chemical,,,,no,no,,Presumed NMDA receptor antagonist; 2-oxo-arylcyclohexylamine (methoxetamine/MXiPr relative with 2-fluoro substituent replacing 2-methoxy of MXE).,,https://en.wikipedia.org/wiki/2-FXPr | https://nervewing.blogspot.com/2025/10/fxipr.html,"dose_ranges_by_route, duration_by_route, half_life_minutes"
2-MAPB,,2-(methylamino)propylbenzofuran,Empathogen,recreational,class:Benzofuran-substituted amphetamine,insufflation,insufflation | oral,insufflation | oral,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
2-ME-DET,,2-methyl-diethyltryptamine,Psychedelic,recreational,TIHKAL | no-human-data | tryptamine,oral,oral,oral,yes,yes,,,,https://erowid.org/library/books_online/tihkal/tihkal33.shtml,"half_life_minutes, mechanism_of_action"
2-ME-DMT,,"2,N,N-TMT | 2,N,N-Trimethyltryptamine | 2-Methyl-N | 2-methyl-DMT | N | N-TMT | N-dimethyltryptamine | TIHKAL #34",Psychedelic,recreational,5-HT2A-agonist | TIHKAL | class:substituted tryptamine | research-chemical | tentative | tryptamine,inhalation,inhalation | insufflation | oral,inhalation | insufflation | oral,yes,yes,,,,https://erowid.org/library/books_online/tihkal/tihkal34.shtml,"half_life_minutes, mechanism_of_action"
2-Me-PiHP,,2-Me-Α-PiHP,Stimulant,recreational,autopsy-cases | cathinone | high-abuse-potential | no-human-data | pyrovalerone | research-chemical,,,,no,no,,Highly DAT-selective reuptake inhibitor (DAT IC50 = 7.6 nM); DAT/SERT selectivity ratio >40× cocaine → very high addiction and abuse potential.,,"In vitro monoamine reuptake inhibition and forensic case series in Sweden of the synthetic cathinones 2-, 3-, and 4-Me-alpha-PiHP. | PMID 40992254 (Forensic Sci Int 2025) | PMC11051472 | https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11051472/","dose_ranges_by_route, duration_by_route, half_life_minutes"
2-MEC,,,Stimulant,recreational,habit-forming | research-chemical | tentative,insufflation,insufflation | oral,insufflation | oral,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
2-MeO-Ketamine,,2-MeO-K | MXM | Methoxyketamine | O-methoxyketamine,Dissociative,recreational,NMDA-antagonist | arylcyclohexylamine | class:Arylcyclohexylamine | duplicate-of-2-MeO-Ketamine | habit-forming | research-chemical,insufflation,insufflation | intramuscular | oral,insufflation | intramuscular | oral,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
2-Methoxymethyl-salvinorin B,,MOM-Sal B | MOM-SalB | SymBMS,Dysdelic,recreational,balanced-KOR-full-agonist | designer-drug-encountered-2020 | kappa-opioid-agonist | long-duration-3h | no-human-data | research-chemical | salvinorin,,,,no,no,,,,https://en.wikipedia.org/wiki/Salvinorin_B_methoxymethyl_ether,"dose_ranges_by_route, duration_by_route, half_life_minutes, mechanism_of_action"
2-Methyl-2-Butanol,,2-甲基-2-丁醇 | 2M2B | tert-amyl alcohol,Depressant,recreational,ADH-resistant | GABA-A-PAM-alcohol-pocket | habit-forming | tentative | tertiary-alcohol,oral,oral,oral,yes,yes,,2-甲基-2-丁醇会抑制 GABA 受体 上一个促惊厥位点的结合，[[10]](#cite_note-10) 这会导致带负电荷的氯离子进入神经元，从而增加神经元放电所需的兴奋量。由于它是一种叔醇，它不能像乙醇那样被乙醇脱氢酶代谢成醛（醛是导致大量摄入 乙醇 后宿醉的原因）。这使得 2M2B 比伯醇安全得多呢。[[11]](#cite_note-11) 但是嘛，这也导致了一个后果，就是 2-甲基-2-丁醇的作用时间延长了，摄入后效果可持续长达 12 小时哦。,Amnesia | Anxiety suppression | Cognitive euphoria | Disinhibition | Dizziness | Information processing suppression | Motor control loss | Muscle relaxation | Pain relief | Respiratory depression | Sedation | Thought deceleration,,"half_life_minutes, references"
2-Methylamphetamine,2-MeA,2-MA | 2-Me-AMP | 2-MeA | Ortetamine | o-Methylamphetamine | o-TAP | o-Tolylaminopropane | ortho-methylamphetamine,Stimulant,recreational,DRI | NDRI | TAAR1 | class:substituted amphetamine | habit-forming | phenethylamine | research-chemical | tentative,insufflation,insufflation | oral | rectal,insufflation | oral | rectal,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
2-Methylethcathinone,2-MEC,2-MEC | ortho-methylethcathinone,,recreational,weak-predicted,insufflation,insufflation | oral | rectal | sublingual,insufflation | oral | rectal | sublingual,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
2-MMC,,2-Methylmethcathinone | 2-甲基甲卡西酮 | Orthophedrone,Stimulant,recreational,cathinone | habit-forming | research-chemical | tentative | weak-substrate-releaser-predicted,insufflation,insufflation | oral,insufflation | oral,yes,yes,,,,https://en.wikipedia.org/wiki/2-Methylmethcathinone,"half_life_minutes, mechanism_of_action"
2-MPPP,,n-piperidinecathinone | piperidinyl ketone,Stimulant,recreational,DAT-blocker-predicted | habit-forming | research-chemical | tentative,insufflation,insufflation | oral | rectal,insufflation | oral | rectal,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
2-NMC,,2'-Propionaphthone | 2-naphthyl methcathinone | 2-naphthylmethcathinone | 2NMC,Other,recreational,inactive,inhalation,inhalation | insufflation | oral,inhalation | insufflation | oral,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
2-PTA,,2-(p-tolyl)acetamide | 4-methyl-2-PA,Stimulant,recreational,habit-forming | research-chemical | tentative,oral,oral,oral,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
2-TFMXP,,2-(trifluoromethyl)-methoxphenidine | 2-TFM-MXP | 2-TFM-diphenidine | 2-trifluoromethyl-MXP | TFMXP,,recreational,,insufflation,insufflation | oral | sublingual,insufflation | oral | sublingual,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
2-TIM,,,Psychedelic,recreational,PIHKAL | phenethylamine,,,,no,no,,,,https://erowid.org/library/books_online/pihkal/pihkal152.shtml,"dose_ranges_by_route, duration_by_route, half_life_minutes, mechanism_of_action"
2-TOET,,,Psychedelic,recreational,PIHKAL | no-human-data | phenethylamine,,,,no,no,,,,https://erowid.org/library/books_online/pihkal/pihkal169.shtml,"dose_ranges_by_route, duration_by_route, half_life_minutes, mechanism_of_action"
2-TOM,,,Psychedelic,recreational,PIHKAL | no-human-data | phenethylamine,oral,oral,oral,yes,yes,,,,https://erowid.org/library/books_online/pihkal/pihkal171.shtml,"half_life_minutes, mechanism_of_action"
22-Thiocyanatosalvinorin A,,RB-64,Dysdelic,recreational,biased-agonist-Gi | irreversible-covalent-agonist | kappa-opioid-agonist | no-human-data | research-chemical | research-probe | salvinorin,,,,no,no,,,,,"dose_ranges_by_route, duration_by_route, half_life_minutes, mechanism_of_action, references"
25B-NBOH,,25B NBOH | 25bnboh | 2C-B-NBOH | 2cb-NBOH | NBOH-25B | NBOH-2C-B | NBOH-2cb,Psychedelic,recreational,5-HT2A-agonist | NBOH | phenethylamine | research-chemical | tentative,buccal,buccal | sublingual,buccal | sublingual,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
25B-NBOMe,,25b | 2C-B-NBOMe | BOM 2-CB | Cimbi-36 | New Nexus | Nova,Psychedelic,recreational,5-HT2A-agonist | NBOMe | class:substituted phenethylamines | phenethylamine | research-chemical,insufflation,insufflation | oral | sublingual,insufflation | sublingual,yes,yes,,,"Acuity enhancement | After images | Analysis enhancement | Auditory distortion | Auditory enhancement | Auditory hallucinations | Autonomous entities | Colour enhancement | Colour shifting | Conceptual thinking | Drifting | Emotion enhancement | Empathy, love, and sociability enhancement | Geometry | Immersion enhancement | Increased heart rate | Increased libido | Internal hallucinations | Memory suppression | Nausea | Novelty enhancement | Pattern recognition enhancement | Perception of decreased weight | Personal bias suppression | Perspective alterations | Pupil dilation | Scenarios and plots | Scenery slicing | Settings, sceneries, and landscapes | Spontaneous tactile sensations | Stimulation | Sublingual numbing | Symmetrical texture repetition | Thought acceleration | Thought connectivity | Time distortion | Tracers | Transformations | Vasoconstriction | Wakefulness",,"half_life_minutes, mechanism_of_action, references"
25C-NB3OMe,,25C-NB-3-OMe | 2C-C-NB3OMe | NB3OMe-2C-C,Psychedelic,recreational,,buccal,buccal | insufflation | oral,buccal | insufflation | oral,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
25C-NBOH,,2C-C-NBOH,Psychedelic,recreational,5-HT2A-agonist | NBOH | class:substituted phenethylamines | phenethylamine | research-chemical | tentative,sublingual,sublingual,sublingual,yes,yes,,"更多信息请见：血清素类迷幻剂

25C-NBOH 在 血清素受体 上具有效力，它作为一个强效的激动剂发挥作用喵。

与其它迷幻剂相比，这种化合物在药理上非常独特，因为它对各种血清素受体表现出极高的选择性。它是 5-HT2A 受体最具有选择性的激动剂配体之一，pEC50 值为 9.43。

它作为强效的血清素受体激动剂，在 5-HT2A 和 5-HT2C 受体上与更知名的化合物 25C-NBOMe 具有相似的亲和力，pKis 值分别为 9.4 和 7.8 呢。

然而，这些相互作用具体是如何导致迷幻体验的，目前仍然是一个谜喵。",,,"half_life_minutes, references"
